,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT,AAPL,BA,DIS,IBM,KO,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,26.19,42.11,28.26,95.86,19.45,23.99,30.1,54.13,32.25,130.9,28.5,30.48,30.48,55.22,32.75,132.85,28.88,30.99,30.08,54.05,32.22,130.75,28.47,30.48,30.45,55.0,32.27,132.41,28.79,30.98,88102700,2189400,19651700,4223400,10848800,31929700
2010-01-04,26.6,43.7,28.1,97.0,19.46,24.36,30.57,56.18,32.07,132.45,28.52,30.95,30.64,56.39,32.75,132.97,28.61,31.1,30.34,54.8,31.87,130.85,28.45,30.59,30.49,55.72,32.5,131.18,28.58,30.62,123432400,6186700,13700400,6155300,13870400,38409100
2010-01-05,26.65,45.13,28.03,95.83,19.23,24.37,30.63,58.02,31.99,130.85,28.17,30.96,30.8,58.28,32.16,131.85,28.5,31.1,30.46,56.0,31.7,130.1,28.07,30.64,30.66,56.25,32.07,131.68,28.42,30.85,150476200,8867800,10307700,6841400,23172400,49749600
2010-01-06,26.22,46.5,27.88,95.2,19.22,24.22,30.14,59.78,31.82,130.0,28.17,30.77,30.75,59.99,32.0,131.49,28.22,31.08,30.11,57.88,31.68,129.81,27.99,30.52,30.63,58.23,31.9,130.68,28.17,30.88,138040000,8836500,10709500,5605300,19264600,58182400
2010-01-07,26.18,48.38,27.89,94.87,19.17,23.97,30.08,62.2,31.83,129.55,28.09,30.45,30.29,62.31,31.86,130.25,28.18,30.7,29.86,59.02,31.54,128.91,27.88,30.19,30.25,59.51,31.77,129.87,28.17,30.63,119282800,14379100,8202100,5840600,13234600,50559700
2010-01-08,26.35,47.92,27.93,95.83,18.82,24.13,30.28,61.6,31.88,130.85,27.58,30.66,30.29,61.78,31.94,130.92,27.82,30.88,29.87,60.86,31.53,129.05,27.38,30.24,30.04,61.54,31.66,129.07,27.73,30.28,111902700,7146600,7657500,4197200,28712400,51197400
2010-01-11,26.12,47.35,27.48,94.82,19.2,23.83,30.02,60.87,31.36,129.48,28.14,30.27,30.43,62.09,31.74,131.06,28.23,30.76,29.78,60.51,31.09,128.67,27.4,30.12,30.4,61.95,31.53,131.06,27.58,30.71,115557400,5624900,11250500,5730400,28642400,68754700
2010-01-12,25.82,47.01,27.01,95.58,19.41,23.67,29.67,60.43,30.82,130.51,28.44,30.07,29.97,61.2,31.12,131.33,28.5,30.4,29.49,59.91,30.68,129.0,28.03,29.91,29.88,60.07,31.02,129.03,28.05,30.15,148614900,5273800,14618300,8081500,23269800,65912100
2010-01-13,26.18,47.57,27.42,95.37,19.46,23.89,30.09,61.16,31.29,130.23,28.51,30.35,30.13,61.7,31.37,131.12,28.72,30.52,29.16,60.35,30.87,129.16,28.34,30.01,29.7,60.61,30.89,130.39,28.43,30.26,151473000,4950400,9620600,6455400,15157400,51863500
2010-01-14,26.03,47.89,27.18,96.89,19.49,24.37,29.92,61.56,31.02,132.31,28.57,30.96,30.07,61.62,31.18,132.71,28.62,31.1,29.86,60.78,30.96,129.91,28.39,30.26,30.02,61.03,31.13,130.55,28.52,30.31,108223500,3000400,9235600,7111800,12392600,63228100
2010-01-15,25.6,47.31,26.81,96.51,19.21,24.29,29.42,60.82,30.6,131.78,28.15,30.86,30.23,61.56,31.15,132.89,28.67,31.24,29.41,60.21,30.41,131.09,28.02,30.71,30.13,61.53,31.01,132.03,28.48,31.08,148516900,5067300,13936400,8494400,27460800,79913200
2010-01-19,26.73,47.18,27.17,98.23,19.25,24.48,30.72,60.65,31.01,134.14,28.21,31.1,30.74,61.01,31.19,134.25,28.25,31.24,29.61,59.96,30.5,131.56,27.96,30.68,29.76,60.6,30.59,131.63,28.11,30.75,182501900,5427100,9662100,13916200,14615400,46575700
